batteryAge,chargingCycles,chargingFrequency,fastChargingUsage,averageTemperature,chargingDuration,dailyDistance,socHistory,batteryCapacity,voltage,current,is_two_wheeler,is_three_wheeler,is_four_wheeler,is_bus,is_chemistry_lfp,is_chemistry_nmc,is_chemistry_lead_acid,SOH,RUL
0.04,9,1.3,45.0,22.0,7.0,65.0,48.5,2.0,3.81,1.9318,1.0,0.0,0.0,0.0,0.0,1.0,0.0,84.75,4
1.5,1200,1.0,10.0,35.0,10.0,40.0,69.3,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.5,60
0.29,59,0.73,24.55,4.0,7.82,36.4,46.1,2.0,3.74,0.9561,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.38,0
4.0,1600,3.0,30.0,25.0,5.4,150.0,40.0,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.5,23
4.8,1140,1.0,10.0,45.0,4.0,20.0,74.7,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,3
0.66,131,1.36,47.27,24.0,6.91,68.2,48.4,2.0,3.74,1.9158,1.0,0.0,0.0,0.0,0.0,1.0,0.0,83.54,0
0.34,68,0.73,24.55,4.0,7.82,36.4,46.2,2.0,3.78,0.9568,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.87,0
3.0,900,1.0,30.0,40.0,7.4,20.0,74.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,71.0,36
0.1,15,1.0,60.0,25.0,7.4,20.0,74.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,97.65,60
0.2,200,1.6,10.0,35.0,10.0,80.0,58.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,93.25,60
0.14,28,0.73,24.55,4.0,7.82,36.4,46.1,2.0,3.8,0.9557,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.7,0
0.5,120,1.0,10.0,45.0,3.7,20.0,74.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0,60
0.1,20,1.0,10.0,45.0,10.0,20.0,74.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,89.7,60
5.0,1188,1.0,60.0,35.0,3.7,20.0,74.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,63.3,0
0.76,151,1.36,47.27,24.0,6.91,68.2,46.8,2.0,3.82,1.9322,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.01,0
2.0,1000,1.0,10.0,35.0,10.0,20.0,74.7,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,83.0,60
4.0,1600,1.0,30.0,25.0,10.0,20.0,74.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.5,23
1.0,400,1.0,10.0,40.0,10.0,20.0,74.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,86.5,60
0.45,89,1.36,47.27,24.0,6.91,68.2,48.0,2.0,3.87,1.91,1.0,0.0,0.0,0.0,0.0,1.0,0.0,79.53,1
2.0,400,1.0,60.0,25.0,2.0,40.0,69.3,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,84.0,36
4.0,3200,3.0,30.0,25.0,10.0,150.0,40.0,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.5,47
0.5,150,1.6,60.0,45.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,84.5,60
4.5,2250,1.6,60.0,45.0,7.5,80.0,58.7,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,14
0.37,74,0.73,24.55,4.0,7.82,36.4,40.4,2.0,3.99,0.4812,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.67,0
2.0,480,1.6,30.0,40.0,2.0,80.0,58.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,43
0.67,133,1.36,47.27,24.0,6.91,68.2,46.6,2.0,3.74,1.9296,1.0,0.0,0.0,0.0,0.0,1.0,0.0,66.05,0
0.3,61,1.36,47.27,24.0,6.91,68.2,46.8,2.0,3.29,3.867,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.12,0
4.5,3600,1.0,80.0,45.0,10.0,20.0,74.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,23
3.0,2400,3.0,60.0,40.0,10.0,150.0,40.0,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.5,60
5.0,1188,1.0,80.0,35.0,2.0,40.0,69.3,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,62.3,0
0.15,30,0.73,24.55,4.0,7.82,36.4,46.0,2.0,3.6,1.914,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.3,0
0.24,48,0.73,24.55,4.0,7.82,36.4,46.1,2.0,3.55,1.9129,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.48,0
3.5,1750,1.0,30.0,45.0,10.0,40.0,69.3,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,45
0.05,10,0.73,24.55,4.0,7.82,36.4,45.4,2.0,3.56,1.9324,1.0,0.0,0.0,0.0,0.0,1.0,0.0,54.26,0
0.5,120,1.0,30.0,45.0,2.0,40.0,69.3,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,60
0.11,22,0.73,24.55,4.0,7.82,36.4,46.4,2.0,3.83,0.9559,1.0,0.0,0.0,0.0,0.0,1.0,0.0,64.09,0
0.2,50,1.6,60.0,45.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,86.25,57
0.18,37,1.36,47.27,24.0,6.91,68.2,47.9,2.0,3.37,3.8655,1.0,0.0,0.0,0.0,0.0,1.0,0.0,79.06,0
3.0,1500,3.0,80.0,40.0,4.0,150.0,40.0,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.5,60
3.0,1200,1.0,10.0,35.0,10.0,20.0,74.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0,48
0.01,3,0.73,24.55,4.0,7.82,36.4,47.5,2.0,3.84,0.9569,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.95,0
0.5,100,3.0,60.0,25.0,2.0,150.0,40.0,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,94.5,54
4.8,950,1.6,60.0,35.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,3
3.5,1750,3.0,30.0,40.0,4.0,150.0,40.0,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.5,45
4.5,900,1.6,30.0,35.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,5
3.5,840,3.0,30.0,25.0,2.0,150.0,40.0,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,21
2.5,1000,1.0,80.0,25.0,10.0,40.0,69.3,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,82.0,60
0.4,79,1.36,47.27,24.0,6.91,68.2,47.5,2.0,3.26,3.867,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.99,0
3.0,900,1.0,60.0,35.0,3.7,40.0,69.3,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,72.0,36
0.31,62,1.36,47.27,24.0,6.91,68.2,47.8,2.0,3.84,1.9279,1.0,0.0,0.0,0.0,0.0,1.0,0.0,78.21,0
0.14,29,1.36,47.27,24.0,6.91,68.2,49.2,2.0,3.81,1.9301,1.0,0.0,0.0,0.0,0.0,1.0,0.0,92.26,2
0.1,25,1.0,10.0,45.0,10.0,40.0,69.3,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,89.65,60
0.04,9,1.3,45.0,22.0,7.0,65.0,48.0,2.0,3.76,1.9143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.02,0
4.0,3200,1.0,60.0,35.0,10.0,20.0,74.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.0,47
0.5,400,3.0,30.0,25.0,10.0,150.0,40.0,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,96.0,60
1.0,300,1.6,60.0,35.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,86.0,60
5.0,3960,1.0,60.0,40.0,10.0,40.0,69.3,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,2
2.5,750,1.6,30.0,40.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,74.5,45
0.5,120,3.0,80.0,35.0,2.0,150.0,40.0,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,60
0.14,27,0.73,24.55,4.0,7.82,36.4,46.4,2.0,3.8,0.9664,1.0,0.0,0.0,0.0,0.0,1.0,0.0,64.33,0
4.8,1900,3.0,10.0,25.0,5.4,150.0,40.0,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.5,6
5.0,1188,3.0,30.0,40.0,2.0,150.0,40.0,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0
4.0,800,1.6,80.0,25.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,11
1.0,240,1.6,60.0,45.0,2.0,80.0,58.7,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,81.0,57
3.5,1750,3.0,80.0,40.0,4.0,150.0,40.0,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,45
4.8,2375,1.0,80.0,35.0,10.0,40.0,69.3,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,7
5.0,1980,1.0,80.0,35.0,10.0,40.0,69.3,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,62.3,1
0.76,152,1.36,47.27,24.0,6.91,68.2,46.8,2.0,3.16,3.8672,1.0,0.0,0.0,0.0,0.0,1.0,0.0,67.79,0
3.5,1400,1.6,80.0,45.0,10.0,80.0,58.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66.0,36
3.0,1200,1.0,60.0,40.0,10.0,40.0,69.3,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.5,48
2.0,1000,1.6,10.0,35.0,10.0,80.0,58.7,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,83.0,60
0.2,60,1.6,60.0,35.0,2.0,80.0,58.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,91.5,60
4.5,1350,1.6,10.0,45.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,60.0,8
0.56,111,0.73,24.55,4.0,7.82,36.4,46.2,2.0,3.77,0.9567,1.0,0.0,0.0,0.0,0.0,1.0,0.0,62.43,0
0.74,149,1.36,47.27,24.0,6.91,68.2,48.2,2.0,3.73,1.9158,1.0,0.0,0.0,0.0,0.0,1.0,0.0,82.04,0
2.5,2000,1.6,60.0,35.0,10.0,80.0,58.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75.5,60
4.0,2000,1.6,10.0,40.0,7.5,80.0,58.7,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.5,29
0.06,12,0.73,24.55,4.0,7.82,36.4,45.7,2.0,3.62,1.909,1.0,0.0,0.0,0.0,0.0,1.0,0.0,56.59,0
4.0,2000,1.0,80.0,40.0,10.0,20.0,74.7,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,65.5,29
4.0,3200,3.0,60.0,45.0,10.0,150.0,40.0,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,47
1.0,800,1.0,80.0,25.0,10.0,40.0,69.3,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90.0,60
3.0,1500,1.0,80.0,25.0,10.0,40.0,69.3,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,79.0,60
0.1,12,1.0,10.0,35.0,2.0,40.0,69.3,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,94.7,60
0.1,19,0.73,24.55,4.0,7.82,36.4,46.6,2.0,3.83,0.9558,1.0,0.0,0.0,0.0,0.0,1.0,0.0,65.56,0
0.49,98,1.36,47.27,24.0,6.91,68.2,47.5,2.0,3.85,1.9322,1.0,0.0,0.0,0.0,0.0,1.0,0.0,75.08,0
3.5,1750,1.0,80.0,25.0,10.0,20.0,74.7,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,76.0,45
0.2,50,1.0,60.0,25.0,2.5,20.0,74.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,96.25,57
1.5,1200,1.6,30.0,45.0,10.0,80.0,58.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,79.0,60
0.04,8,0.73,24.55,4.0,7.82,36.4,44.1,2.0,3.72,0.9658,1.0,0.0,0.0,0.0,0.0,1.0,0.0,40.92,0
4.5,2250,3.0,10.0,35.0,9.7,150.0,40.0,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,68.0,14
5.0,2475,1.6,30.0,40.0,10.0,80.0,58.7,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,62.3,1
0.2,200,1.6,30.0,40.0,10.0,80.0,58.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90.25,60
0.47,95,0.73,24.55,4.0,7.82,36.4,44.4,2.0,3.55,1.9314,1.0,0.0,0.0,0.0,0.0,1.0,0.0,44.26,0
2.5,600,3.0,10.0,35.0,2.0,150.0,40.0,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,36
4.0,1200,1.0,10.0,25.0,3.7,40.0,69.3,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,72.0,17
5.0,1188,1.0,60.0,25.0,3.7,20.0,74.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.3,0
3.0,720,1.0,30.0,45.0,2.0,40.0,69.3,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,68.5,28
0.27,54,0.73,24.55,4.0,7.82,36.4,45.2,2.0,3.52,1.932,1.0,0.0,0.0,0.0,0.0,1.0,0.0,52.36,0
0.01,2,1.36,47.27,24.0,6.91,68.2,49.0,2.0,4.01,0.9588,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.24,60
5.0,3960,1.6,10.0,40.0,10.0,80.0,58.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,2
1.0,240,1.6,80.0,35.0,2.0,80.0,58.7,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,57
0.2,39,1.3,45.0,22.0,7.0,65.0,47.4,2.0,3.79,1.9099,1.0,0.0,0.0,0.0,0.0,1.0,0.0,73.86,0
0.2,100,3.0,60.0,35.0,5.4,150.0,40.0,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,91.5,60
4.0,2000,1.0,80.0,45.0,10.0,20.0,74.7,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,29
0.08,16,0.73,24.55,4.0,7.82,36.4,41.5,2.0,3.19,1.9305,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.07,0
0.5,100,3.0,60.0,35.0,2.0,150.0,40.0,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,89.5,54
1.5,360,1.0,80.0,40.0,4.0,20.0,74.7,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,50
3.5,840,1.0,30.0,35.0,3.7,20.0,74.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,73.5,21
2.0,1000,1.0,30.0,35.0,10.0,40.0,69.3,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,82.5,60
3.0,2400,1.0,30.0,45.0,10.0,20.0,74.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.5,60
3.0,1200,1.0,30.0,35.0,10.0,20.0,74.7,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,76.5,48
2.5,600,1.0,10.0,25.0,3.7,20.0,74.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,36
3.5,840,1.0,10.0,35.0,2.0,40.0,69.3,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,21
4.5,2250,1.6,60.0,40.0,10.0,80.0,58.7,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63.5,14
0.2,60,1.6,10.0,45.0,2.0,80.0,58.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,88.5,60
4.8,1140,3.0,30.0,40.0,2.0,150.0,40.0,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,3
5.0,3960,1.6,60.0,45.0,10.0,80.0,58.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,2
1.5,750,3.0,30.0,25.0,9.7,150.0,40.0,72.6,697.0,104.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,90.5,60
0.43,86,0.73,24.55,4.0,7.82,36.4,45.5,2.0,3.59,1.9138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,55.42,0
4.8,1140,3.0,10.0,45.0,2.0,150.0,40.0,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.5,3
0.17,34,2.0,70.0,44.0,6.0,100.0,48.6,2.0,3.99,0.9591,0.0,0.0,1.0,0.0,0.0,1.0,0.0,86.34,0
2.5,2000,1.0,30.0,25.0,10.0,20.0,74.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,82.0,60
4.5,3600,1.6,60.0,35.0,10.0,80.0,58.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.5,23
0.04,7,1.36,47.27,24.0,6.91,68.2,47.4,2.0,3.33,3.8657,1.0,0.0,0.0,0.0,0.0,1.0,0.0,74.33,0
0.5,400,3.0,30.0,45.0,10.0,150.0,40.0,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0,60
0.34,67,1.36,47.27,24.0,6.91,68.2,47.8,2.0,3.29,3.8673,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77.55,0
0.07,14,0.73,24.55,4.0,7.82,36.4,47.0,2.0,3.85,0.9557,1.0,0.0,0.0,0.0,0.0,1.0,0.0,70.29,0
0.2,125,3.0,60.0,35.0,4.0,150.0,40.0,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,91.25,60
0.1,10,1.6,60.0,25.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,97.65,59
3.5,1050,1.6,60.0,40.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.0,27
0.14,27,0.73,24.55,4.0,7.82,36.4,45.1,2.0,3.61,1.9319,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.8,0
3.5,840,1.0,60.0,25.0,2.0,40.0,69.3,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,73.5,21
0.07,15,1.36,47.27,24.0,6.91,68.2,49.0,2.0,3.83,1.9321,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.13,5
4.5,3600,1.0,30.0,35.0,10.0,20.0,74.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,23
4.8,2375,1.0,60.0,25.0,10.0,20.0,74.7,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.75,7
0.2,125,1.0,80.0,25.0,10.0,20.0,74.7,30.0,320.0,93.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,95.25,60
0.1,40,1.6,80.0,45.0,10.0,80.0,58.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.65,60
4.5,900,1.6,30.0,45.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,5
3.0,600,1.6,80.0,35.0,2.0,80.0,58.7,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,24
0.17,34,2.0,70.0,44.0,6.0,100.0,48.9,2.0,3.98,0.967,0.0,0.0,1.0,0.0,0.0,1.0,0.0,88.95,0
0.01,3,1.3,45.0,22.0,7.0,65.0,48.6,2.0,3.81,1.932,1.0,0.0,0.0,0.0,0.0,1.0,0.0,86.41,60
4.0,3200,1.0,10.0,35.0,10.0,20.0,74.7,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.0,47
1.0,300,3.0,60.0,35.0,2.0,150.0,40.0,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,86.0,60
4.8,1425,1.6,10.0,45.0,2.0,80.0,58.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,60.0,4
0.5,100,3.0,30.0,45.0,2.0,150.0,40.0,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,54
0.38,76,0.73,24.55,4.0,7.82,36.4,45.6,2.0,3.6,1.9136,1.0,0.0,0.0,0.0,0.0,1.0,0.0,56.34,0
2.0,480,1.6,60.0,45.0,2.0,80.0,58.7,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,43
0.04,7,1.36,47.27,24.0,6.91,68.2,49.2,2.0,3.86,1.9326,1.0,0.0,0.0,0.0,0.0,1.0,0.0,91.99,25
3.0,2400,1.0,80.0,45.0,10.0,20.0,74.7,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,66.0,60
5.0,1188,1.6,60.0,25.0,2.0,80.0,58.7,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,63.35,0
0.2,100,1.0,30.0,25.0,10.0,40.0,69.3,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,98.0,60
0.25,50,0.73,24.55,4.0,7.82,36.4,40.4,2.0,2.82,3.8669,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.11,0
2.5,600,1.6,60.0,25.0,2.0,80.0,58.7,4.0,48.0,83.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,80.5,36
0.23,45,0.73,24.55,4.0,7.82,36.4,46.0,2.0,3.76,0.9568,1.0,0.0,0.0,0.0,0.0,1.0,0.0,59.74,0
2.5,1000,3.0,80.0,35.0,5.4,150.0,40.0,40.5,320.0,126.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0,60
0.5,150,1.0,60.0,40.0,3.7,40.0,69.3,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.0,60
0.5,120,1.0,10.0,25.0,2.0,40.0,69.3,3.7,48.0,77.08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,60
1.0,800,3.0,60.0,40.0,10.0,150.0,40.0,310.0,640.0,484.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.5,60
0.4,80,0.73,24.55,4.0,7.82,36.4,40.4,2.0,2.67,3.8634,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.79,0
1.0,300,3.0,80.0,25.0,2.0,150.0,40.0,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,90.0,60
1.5,1200,3.0,10.0,40.0,10.0,150.0,40.0,186.0,540.0,344.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,82.0,60
0.52,103,1.36,47.27,24.0,6.91,68.2,46.9,2.0,3.78,1.928,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.67,0
0.91,181,1.36,47.27,24.0,6.91,68.2,48.0,2.0,3.71,1.9156,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.39,0
0.14,27,2.0,70.0,44.0,6.0,100.0,48.9,2.0,3.98,0.9668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,88.98,0
1.5,300,1.0,80.0,25.0,2.0,40.0,69.3,2.5,48.0,52.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,86.5,42
0.2,39,1.3,45.0,22.0,7.0,65.0,47.9,2.0,3.79,1.9324,1.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,1
2.5,750,1.0,60.0,25.0,7.4,20.0,74.7,7.4,72.0,102.78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,80.5,45
